-10	-10
-9.8995	-9.8995
-9.79899	-9.79899
-9.69849	-9.69849
-9.59799	-9.59799
-9.49749	-9.49749
-9.39698	-9.39698
-9.29648	-9.29648
-9.19598	-9.19598
-9.09548	-9.09548
-8.99497	-8.99497
-8.89447	-8.89447
-8.79397	-8.79397
-8.69347	-8.69347
-8.59296	-8.59296
-8.49246	-8.49246
-8.39196	-8.39196
-8.29146	-8.29146
-8.19095	-8.19095
-8.09045	-8.09045
-7.98995	-7.98995
-7.88945	-7.88945
-7.78894	-7.78894
-7.68844	-7.68844
-7.58794	-7.58794
-7.48744	-7.48744
-7.38693	-7.38693
-7.28643	-7.28643
-7.18593	-7.18593
-7.08543	-7.08543
-6.98492	-6.98492
-6.88442	-6.88442
-6.78392	-6.78392
-6.68342	-6.68342
-6.58291	-6.58291
-6.48241	-6.48241
-6.38191	-6.38191
-6.28141	-6.28141
-6.1809	-6.1809
-6.0804	-6.0804
-5.9799	-5.9799
-5.8794	-5.8794
-5.77889	-5.77889
-5.67839	-5.67839
-5.57789	-5.57789
-5.47739	-5.47739
-5.37688	-5.37688
-5.27638	-5.27638
-5.17588	-5.17588
-5.07538	-5.07538
-4.97487	-4.97487
-4.87437	-4.87437
-4.77387	-4.77387
-4.67337	-4.67337
-4.57286	-4.57286
-4.47236	-4.47236
-4.37186	-4.37186
-4.27136	-4.27136
-4.17085	-4.17085
-4.07035	-4.07035
-3.96985	-3.96985
-3.86935	-3.86935
-3.76884	-3.76884
-3.66834	-3.66834
-3.56784	-3.56784
-3.46734	-3.46734
-3.36683	-3.36683
-3.26633	-3.26633
-3.16583	-3.16583
-3.06533	-3.06533
-2.96482	-2.96482
-2.86432	-2.86432
-2.76382	-2.76382
-2.66332	-2.66332
-2.56281	-2.56281
-2.46231	-2.46231
-2.36181	-2.36181
-2.26131	-2.26131
-2.1608	-2.1608
-2.0603	-2.0603
-1.9598	-1.9598
-1.8593	-1.8593
-1.75879	-1.75879
-1.65829	-1.65829
-1.55779	-1.55779
-1.45729	-1.45729
-1.35678	-1.35678
-1.25628	-1.25628
-1.15578	-1.15578
-1.05528	-1.05528
-0.954774	-0.954774
-0.854271	-0.854271
-0.753769	-0.753769
-0.653266	-0.653266
-0.552764	-0.552764
-0.452261	-0.452261
-0.351759	-0.351759
-0.251256	-0.251256
-0.150754	-0.150754
-0.0502513	-0.0502513
0.0502513	0.0502513
0.150754	0.150754
0.251256	0.251256
0.351759	0.351759
0.452261	0.452261
0.552764	0.552764
0.653266	0.653266
0.753769	0.753769
0.854271	0.854271
0.954774	0.954774
1.05528	1.05528
1.15578	1.15578
1.25628	1.25628
1.35678	1.35678
1.45729	1.45729
1.55779	1.55779
1.65829	1.65829
1.75879	1.75879
1.8593	1.8593
1.9598	1.9598
2.0603	2.0603
2.1608	2.1608
2.26131	2.26131
2.36181	2.36181
2.46231	2.46231
2.56281	2.56281
2.66332	2.66332
2.76382	2.76382
2.86432	2.86432
2.96482	2.96482
3.06533	3.06533
3.16583	3.16583
3.26633	3.26633
3.36683	3.36683
3.46734	3.46734
3.56784	3.56784
3.66834	3.66834
3.76884	3.76884
3.86935	3.86935
3.96985	3.96985
4.07035	4.07035
4.17085	4.17085
4.27136	4.27136
4.37186	4.37186
4.47236	4.47236
4.57286	4.57286
4.67337	4.67337
4.77387	4.77387
4.87437	4.87437
4.97487	4.97487
5.07538	5.07538
5.17588	5.17588
5.27638	5.27638
5.37688	5.37688
5.47739	5.47739
5.57789	5.57789
5.67839	5.67839
5.77889	5.77889
5.8794	5.8794
5.9799	5.9799
6.0804	6.0804
6.1809	6.1809
6.28141	6.28141
6.38191	6.38191
6.48241	6.48241
6.58291	6.58291
6.68342	6.68342
6.78392	6.78392
6.88442	6.88442
6.98492	6.98492
7.08543	7.08543
7.18593	7.18593
7.28643	7.28643
7.38693	7.38693
7.48744	7.48744
7.58794	7.58794
7.68844	7.68844
7.78894	7.78894
7.88945	7.88945
7.98995	7.98995
8.09045	8.09045
8.19095	8.19095
8.29146	8.29146
8.39196	8.39196
8.49246	8.49246
8.59296	8.59296
8.69347	8.69347
8.79397	8.79397
8.89447	8.89447
8.99497	8.99497
9.09548	9.09548
9.19598	9.19598
9.29648	9.29648
9.39698	9.39698
9.49749	9.49749
9.59799	9.59799
9.69849	9.69849
9.79899	9.79899
9.8995	9.8995
10	10
